condom,floor,ascensore,accdisabili,indivsapt,totlocali,camereletto,bagno,status,heating,photosnum,totpiani,price,sqfeet,nroom,fibra_ottica,videocitofono,impianto_di_allarme,reception,porta_blindata,esposizione_esterna,cancello_elettrico,portiere_intera_giornata,balcone,arredato,impianto_tv_centralizzato,armadio_a_muro,portiere_mezza_giornata,caminetto,esposizione_interna,mansarda,parzialmente_arredato,taverna,idromassaggio,terrazza,esposizione_doppia,giardino_comune,giardino_privato
295,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",17,7 piani,1700,70,2,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
60,5 piano,con ascensore,no,Appartamento,Bilocale,NA,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",6,5 piani,1300,75,2,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no
250,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",18,7 piani,1100,90,3,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
375,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,6 piani,2500,150,3,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
800,1 piano,no,no,Appartamento,Pentalocale,3 camere da letto,3 bagni,Buono / Abitabile,"Centralizzato, ad aria, alimentato a gas",20,2 piani,1900,150,5,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
300,2 piano,con ascensore,no,Appartamento,Trilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,Centralizzato,20,4 piani,1900,120,3,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
100,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,NA,NA,9,NA,1500,50,2,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
331.73519299576316,5 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,3 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gasolio",9,7 piani,3500,160,4,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
113,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,3,6 piani,1350,54,2,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
250,3 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,5 piani,2000,125,3,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no
165,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",20,7 piani,1135,90,3,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
335,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,3 piani,2165,62,2,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no
166,Piano rialzato,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, a pavimento, alimentato a gas",20,3 piani,900,40,1,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
250,5 piano,con ascensore,no,Mansarda,Trilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gasolio",20,5 piani,2000,110,3,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no
100,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",17,6 piani,1250,70,2,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
250,2 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",19,8 piani,2500,140,4,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no
170.54067875606196,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",17,8 piani,950,55,2,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
50,5 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, ad aria",20,5 piani,550,25,1,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
250,3 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,8 piani,1500,85,3,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
450,1 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",16,5 piani,3000,145,3,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no
100,1 piano,no,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",20,3 piani,1300,95,3,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
375,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,6 piani,2625,150,3,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
80,Piano rialzato,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",16,5 piani,850,60,2,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
240,Ultimo piano,con ascensore,no,Mansarda,Quadrilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",14,5 piani,3000,136,4,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no
250,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,4 piani,2200,81,2,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no
450,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",10,7 piani,2800,110,3,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
150,3 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",14,4 piani,1400,52,2,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no
100,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a gas",19,3 piani,1400,50,2,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no
50,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, ad aria, alimentato a pompa di calore",13,5 piani,700,22,1,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
500,5 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",16,5 piani,3170,145,3,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no
196.61592610683417,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",18,6 piani,1250,65,3,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
185,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,20,8 piani,1400,77,2,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
200,Piano terra,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a gas",10,4 piani,650,55,2,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
108.40482089358561,3 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,NA,13,3 piani,850,40,1,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no
200,Piano terra,no,no,Loft,Bilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,1400,85,2,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no
150,4 piano,con ascensore,con accesso disabili,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",20,6 piani,1600,95,3,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
150,2 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",11,4 piani,850,53,2,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
162.86977282076518,Piano terra,no,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a metano",19,NA,1700,105,4,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no
200,2 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,Centralizzato,10,5 piani,1500,70,3,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
350,da interrato a 4,con ascensore,no,Appartamento,Trilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,4 piani,2000,102,3,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no
200,3 piano,con ascensore,con accesso disabili,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",13,4 piani,800,44,1,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no
300,Piano rialzato,con ascensore,no,Appartamento,Quadrilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,3 piani,2200,136,4,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
500,3 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,3200,160,4,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no
50,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",20,3 piani,750,20,1,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no
150,8 piano,con ascensore,no,Attico,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori",19,8 piani,1300,48,2,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no
150,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Autonomo,16,4 piani,1850,80,2,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
600,3 piano,con ascensore,no,Appartamento,Pentalocale,2 camere da letto,3 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",19,4 piani,4150,190,5,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
417,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,Centralizzato,20,5 piani,4500,132,2,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
150,1 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",8,7 piani,1200,70,2,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no
150,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Buono / Abitabile,"Autonomo, alimentato a gas",20,5 piani,1700,97,3,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
120,Piano rialzato,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,6 piani,1180,68,2,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no
120,1 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, ad aria",20,6 piani,1500,55,2,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no
110,Piano rialzato,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",15,4 piani,950,55,2,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
300,2 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a metano",15,5 piani,2000,95,3,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
185,5 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,12 piani,1350,80,2,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
33,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a metano",20,4 piani,1000,40,1,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
140,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori",20,6 piani,1350,75,2,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
40,2 piano,no,no,Mansarda,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",15,2 piani,960,45,2,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no
350,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,1600,110,3,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
1,Piano terra,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,3 bagni,Nuovo / In costruzione,"Autonomo, ad aria, alimentato a metano",13,3 piani,7000,270,4,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no
150,Piano terra,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",4,9 piani,900,55,2,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
150,Piano terra,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",9,4 piani,1100,55,2,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
150,2 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,18,4 piani,600,30,1,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
100,Piano rialzato,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori",4,4 piani,800,50,2,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
200,2 piano,no,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,7,3 piani,1100,85,3,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
475,2 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Nuovo / In costruzione,"Centralizzato, a pavimento, alimentato a gpl",19,5 piani,3500,111,3,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no
80,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,4 piani,1200,55,2,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
70,3 piano,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,900,35,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
67,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,4 piani,950,45,2,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
200,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,5 piani,1850,80,3,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no
60,3 piano,no,no,Appartamento,Bilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori",20,3 piani,1040,60,2,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
300,1 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a metano",20,7 piani,1900,110,3,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
75,2 piano,no,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",20,4 piani,1250,65,3,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no
250,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,7 piani,1300,85,2,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
125,Piano terra,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, a radiatori, alimentato a metano",20,3 piani,850,42,1,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
234,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,4 piani,2000,85,2,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
200,Seminterrato,con ascensore,no,Loft,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, ad aria",19,4 piani,850,40,2,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
360,1 piano,con ascensore,no,Appartamento,Quadrilocale,2 camere da letto,2 bagni,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a gasolio",20,4 piani,1690,130,4,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
125,2 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",11,4 piani,1200,50,2,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
400,Piano rialzato,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a gasolio",20,5 piani,2350,130,3,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
100,8 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,8 piani,1000,60,2,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
90,6 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,2 bagni,Nuovo / In costruzione,"Autonomo, a radiatori, alimentato a metano",20,6 piani,1300,65,2,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
150,1 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a pavimento, alimentato a metano",20,8 piani,1350,62,2,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
100,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",15,4 piani,1000,55,2,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
100,3 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,5 piani,1200,50,2,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
